word,meaning,example
Deny,অস্বীকার করা,He denied any involvement in the crime. (সে অপরাধে কোনো জড়িত থাকার কথা অস্বীকার করেছিল।)
Depend,নির্ভর করা,You can always depend on me. (তুমি সবসময় আমার উপর নির্ভর করতে পারো।)
Depressed,বিষণ্ণ,He felt depressed after losing his job. (চাকরি হারানোর পর সে বিষণ্ণ বোধ করছিল।)
Deprive,বঞ্চিত করা,Don't deprive him of his rights. (তাকে তার অধিকার থেকে বঞ্চিত করো না।)
Depth,গভীরতা,What is the depth of this lake? (এই হ্রদটির গভীরতা কত?)
Derive,উদ্ভূত হওয়া,This word derives from Latin. (এই শব্দটি ল্যাটিন থেকে উদ্ভূত হয়েছে।)
Describe,বর্ণনা করা,Can you describe the man? (আপনি কি লোকটিকে বর্ণনা করতে পারেন?)
Design,নকশা করা,She designed the new logo. (সে নতুন লogoটির নকশা করেছিল।)
Desire,আকাঙ্ক্ষা,He has a strong desire for success. (তার সফলতার জন্য তীব্র আকাঙ্ক্ষা আছে।)
Despite,সত্ত্বেও,He went out despite the rain. (বৃষ্টি সত্ত্বেও সে বাইরে গিয়েছিল।)
Destroy,ধ্বংস করা,The fire destroyed the entire building. (আগুনটি পুরো ভবনটি ধ্বংস করে দিয়েছিল।)
Detail,বিস্তারিত,Can you give me more details? (তুমি কি আমাকে আরও বিস্তারিত জানাতে পারো?)
Detect,শনাক্ত করা,The test can detect the disease early. (পরীক্ষাটি রোগটি তাড়াতাড়ি শনাক্ত করতে পারে।)
Determine,নির্ধারণ করা,We need to determine the cause of the problem. (আমাদেরকে সমস্যার কারণটি নির্ধারণ করতে হবে।)
Develop,উন্নয়ন করা,They are developing a new software. (তারা একটি নতুন সফ্টওয়্যার উন্নয়ন করছে।)
Device,যন্ত্র,This is a useful device. (এটি একটি দরকারী যন্ত্র।)
Devote,উৎসর্গ করা,He devoted his life to science. (সে তার জীবন বিজ্ঞানে উৎসর্গ করেছিল।)
Diagnose,রোগ নির্ণয় করা,The doctor diagnosed him with flu. (ডাক্তার তার ফ্লু রোগ নির্ণয় করেছেন।)
Differ,ভিন্ন হওয়া,My opinion differs from yours. (আমার মতামত তোমার থেকে ভিন্ন।)
Difficulty,অসুবিধা,He has difficulty in walking. (তার হাঁটতে অসুবিধা হয়।)
Dimension,মাত্রা,We need the exact dimensions of the room. (আমাদের ঘরের সঠিক মাত্রা দরকার।)
Disappointed,হতাশ,I was disappointed with the result. (আমি ফলাফল দেখে হতাশ হয়েছিলাম।)
Disaster,দুর্যোগ,The earthquake was a terrible disaster. (ভূমিকম্পটি একটি ভয়াবহ দুর্যোগ ছিল।)
Discipline,শৃঙ্খলা,He lacks discipline. (তার শৃঙ্খলার অভাব আছে।)
Discover,আবিষ্কার করা,Who discovered America? (কে আমেরিকা আবিষ্কার করেছিল?)
Discuss,আলোচনা করা,Let's discuss this matter. (চলো এই বিষয়টি নিয়ে আলোচনা করি।)
Disease,রোগ,He is suffering from a rare disease. (সে একটি বিরল রোগে ভুগছে।)
Dismiss,খারিজ করা,The case was dismissed. (মামলাটি খারিজ করা হয়েছিল।)
Display,প্রদর্শন করা,The shop is displaying new clothes. (দোকানটি নতুন পোশাক প্রদর্শন করছে।)
Dispute,বিরোধ,There is a dispute between them. (তাদের মধ্যে একটি বিরোধ আছে।)
Distance,দূরত্ব,What is the distance to the city? (শহরটির দূরত্ব কত?)
Distinct,স্পষ্ট,There is a distinct difference. (একটি স্পষ্ট পার্থক্য আছে।)
Distinguish,পার্থক্য করা,Can you distinguish between these two? (তুমি কি এই দুটির মধ্যে পার্থক্য করতে পারো?)
Distribute,বিতরণ করা,They distributed food to the poor. (তারা গরীবদের মধ্যে খাবার বিতরণ করেছিল।)
District,জেলা,He lives in this district. (সে এই জেলায় বাস করে।)
Divide,ভাগ করা,Let's divide the cake into two. (চলো কেকটি দুই ভাগে ভাগ করি।)
Domestic,গার্হস্থ্য,She is interested in domestic affairs. (সে গার্হস্থ্য বিষয়ে আগ্রহী।)
Dominant,প্রভাবশালী,He is the dominant person in the group. (সে দলের মধ্যে প্রভাবশালী ব্যক্তি।)
Doubt,সন্দেহ,I have no doubt about it. (এ ব্যাপারে আমার কোনো সন্দেহ নেই।)
Draft,খসড়া,This is the first draft of my speech. (এটি আমার বক্তৃতার প্রথম খসড়া।)
Drama,নাটক,She loves watching drama. (সে নাটক দেখতে ভালোবাসে।)
Drastic,চরম,They took drastic measures. (তারা চরম ব্যবস্থা নিয়েছিল।)
Draw,আঁকা,Can you draw a picture? (তুমি কি একটি ছবি আঁকতে পারো?)
Drop,ফেলে দেওয়া,Be careful not to drop the glass. (সতর্ক থেকো যেন গ্লাসটি ফেলে না দাও।)
Due,বকেয়া,The rent is due today. (ভাড়াটি আজ বকেয়া হয়েছে।)
Duration,সময়কাল,What is the duration of the course? (কোর্সটির সময়কাল কত?)
Duty,কর্তব্য,It is your duty to help him. (তাকে সাহায্য করা তোমার কর্তব্য।)
Dynamic,গতিশীল,He has a dynamic personality. (তার একটি গতিশীল ব্যক্তিত্ব আছে।)
Eager,আগ্রহী,He is eager to learn. (সে শিখতে আগ্রহী।)
Earn,আয় করা,How much do you earn? (তুমি কত আয় করো?)
Ease,স্বাচ্ছন্দ্য,He passed the exam with ease. (সে স্বাচ্ছন্দে পরীক্ষায় পাস করেছিল।)
Economic,অর্থনৈতিক,The country is facing economic problems. (দেশটি অর্থনৈতিক সমস্যার সম্মুখীন হচ্ছে।)
Economy,অর্থনীতি,The economy is growing fast. (অর্থনীতি দ্রুত বাড়ছে।)
Edge,কিনারা,He sat on the edge of the bed. (সে বিছানার কিনারায় বসেছিল।)
Edit,সম্পাদনা করা,You need to edit this document. (তোমাকে এই নথিটি সম্পাদনা করতে হবে।)
Educate,শিক্ষিত করা,We need to educate our children. (আমাদেরকে আমাদের সন্তানদের শিক্ষিত করতে হবে।)
Effective,কার্যকর,This is a simple but effective solution. (এটি একটি সহজ কিন্তু কার্যকর সমাধান।)
Efficient,দক্ষ,This is a very efficient machine. (এটি একটি খুব দক্ষ মেশিন।)
Effort,প্রচেষ্টা,He made a great effort. (সে একটি দারুণ প্রচেষ্টা করেছিল।)
Elect,নির্বাচিত করা,He was elected as president. (সে রাষ্ট্রপতি হিসেবে নির্বাচিত হয়েছিল।)
Element,উপাদান,Honesty is an important element. (সততা একটি গুরুত্বপূর্ণ উপাদান।)
Eliminate,বাদ দেওয়া,We need to eliminate this problem. (আমাদের এই সমস্যাটি বাদ দিতে হবে।)
Emerge,আবির্ভূত হওয়া,A new problem has emerged. (একটি নতুন সমস্যা আবির্ভূত হয়েছে।)
Emergency,জরুরী অবস্থা,Call me in case of an emergency. (জরুরী অবস্থায় আমাকে কল করো।)
Emotion,আবেগ,He showed no emotion. (সে কোনো আবেগ দেখায়নি।)
Emphasize,জোর দেওয়া,He emphasized the importance of safety. (সে নিরাপত্তার গুরুত্বের উপর জোর দিয়েছিল।)
Empire,সাম্রাজ্য,He ruled over a vast empire. (সে একটি বিশাল সাম্রাজ্য শাসন করতো।)
Employ,নিয়োগ করা,The company employs 100 people. (কোম্পানিটি ১০০ জনকে নিয়োগ দিয়েছে।)
Enable,সক্ষম করা,This technology enables us to work from home. (এই প্রযুক্তি আমাদেরকে বাড়ি থেকে কাজ করতে সক্ষম করে।)
Encourage,উৎসাহিত করা,My parents always encouraged me. (আমার বাবা-মা আমাকে সবসময় উৎসাহিত করতেন।)
Endure,সহ্য করা,He could not endure the pain. (সে যন্ত্রণা সহ্য করতে পারছিল না।)
Enemy,শত্রু,He has many enemies. (তার অনেক শত্রু আছে।)
Energy,শক্তি,You need more energy. (তোমার আরও শক্তি দরকার।)
Engage,জড়িত থাকা,He is engaged in a new project. (সে একটি নতুন প্রকল্পে জড়িত আছে।)
Engine,ইঞ্জিন,The car has a powerful engine. (গাড়িটির একটি শক্তিশালী ইঞ্জিন আছে।)
Enhance,বৃদ্ধি করা,This will enhance your reputation. (এটি আপনার খ্যাতি বৃদ্ধি করবে।)
Enjoy,উপভোগ করা,I enjoy listening to music. (আমি গান শুনতে উপভোগ করি।)
Enormous,বিশাল,He lives in an enormous house. (সে একটি বিশাল বাড়িতে বাস করে।)
Ensure,নিশ্চিত করা,Please ensure that the door is locked. (অনুগ্রহ করে নিশ্চিত করুন যে দরজাটি তালাবদ্ধ আছে।)
Enter,প্রবেশ করা,Please enter the room. (অনুগ্রহ করে ঘরে প্রবেশ করুন।)
Entire,সম্পূর্ণ,He ate the entire cake. (সে সম্পূর্ণ কেকটি খেয়ে ফেলেছিল।)
Enterprise,প্রতিষ্ঠান,He is in charge of a large enterprise. (তিনি একটি বড় প্রতিষ্ঠানের দায়িত্বে আছেন।)
Environment,পরিবেশ,We need to protect the environment. (আমাদেরকে পরিবেশ রক্ষা করতে হবে।)
Episode,পর্ব,I watched the latest episode last night. (আমি গতরাতে সর্বশেষ পর্বটি দেখেছি।)
Equal,সমান,All people are equal. (সব মানুষ সমান।)
Equip,সজ্জিত করা,The soldiers were equipped with guns. (সৈন্যরা বন্দুক দিয়ে সজ্জিত ছিল।)
Equipment,সরঞ্জাম,They bought new office equipment. (তারা নতুন অফিসের সরঞ্জাম কিনেছে।)
Equivalent,সমতুল্য,His action is equivalent to treason. (তার কাজ দেশদ্রোহিতার সমতুল্য।)
Era,যুগ,This is the modern era. (এটি আধুনিক যুগ।)
Error,ভুল,There is an error in your calculation. (তোমার হিসাবে একটি ভুল আছে।)
Escape,পালানো,He escaped from prison. (সে জেল থেকে পালিয়েছিল।)
Especially,বিশেষত,I love fruits, especially mangoes. (আমি ফল ভালোবাসি, বিশেষত আম।)
Essential,অপরিহার্য,Water is essential for life. (জীবনের জন্য পানি অপরিহার্য।)
Establish,প্রতিষ্ঠা করা,They established a new company. (তারা একটি নতুন কোম্পানি প্রতিষ্ঠা করেছিল।)
Estate,সম্পত্তি,He owns a large estate. (তিনি একটি বড় সম্পত্তির মালিক।)
Estimate,আনুমানিক হিসাব করা,Can you estimate the cost? (আপনি কি খরচটি আনুমানিক হিসাব করতে পারেন?)
Ethnic,জাতিগত,There are many ethnic groups in this country. (এই দেশে অনেক জাতিগত গোষ্ঠী রয়েছে।)
Evaluate,মূল্যায়ন করা,We need to evaluate the results. (আমাদেরকে ফলাফলগুলি মূল্যায়ন করতে হবে।)
Event,ঘটনা,It was an important event in his life. (এটি তার জীবনের একটি গুরুত্বপূর্ণ ঘটনা ছিল।)
Eventually,অবশেষে,He eventually agreed to help. (সে অবশেষে সাহায্য করতে রাজি হয়েছিল।)
Evidence,প্রমাণ,The police found new evidence. (পুলিশ নতুন প্রমাণ খুঁজে পেয়েছে।)
Evil,অশুভ,He is an evil person. (সে একজন অশুভ লোক।)
Evolve,বিবর্তিত হওয়া,The company has evolved over the years. (কোম্পানিটি বছরের পর বছর ধরে বিবর্তিত হয়েছে।)
Exact,নির্ভুল,What were his exact words? (তার নির্ভুল কথাগুলো কী ছিল?)
Exaggerate,অতিরঞ্জিত করা,He tends to exaggerate his problems. (সে তার সমস্যাগুলো অতিরঞ্জিত করার প্রবণতা রাখে।)
Examine,পরীক্ষা করা,The doctor examined the patient. (ডাক্তার রোগীকে পরীক্ষা করেছিলেন।)
Exceed,অতিক্রম করা,The cost should not exceed 1000 taka. (খরচ ১০০০ টাকা অতিক্রম করা উচিত নয়।)
Excellent,চমৎকার,She did an excellent job. (সে একটি চমৎকার কাজ করেছে।)
Except,ছাড়া,Everyone came except him. (সে ছাড়া সবাই এসেছিল।)
Exception,ব্যতিক্রম,This is the only exception. (এটিই একমাত্র ব্যতিক্রম।)
Excess,অতিরিক্ত,We have an excess of food. (আমাদের কাছে অতিরিক্ত খাবার আছে।)
Exchange,বিনিময় করা,Can I exchange this shirt? (আমি কি এই শার্টটি বিনিময় করতে পারি?)
Excite,উত্তেজিত করা,The news excited everyone. (খবরটি সবাইকে উত্তেজিত করেছিল।)
Exclude,বাদ দেওয়া,Please exclude his name from the list. (অনুগ্রহ করে তালিকা থেকে তার নাম বাদ দিন।)
Excuse,অজুহাত,He always makes excuses. (সে সবসময় অজুহাত দেখায়।)
Execute,কার্যকর করা,They executed the plan perfectly. (তারা পরিকল্পনাটি নিখুঁতভাবে কার্যকর করেছিল।)
Exercise,ব্যায়াম,You should exercise regularly. (তোমার নিয়মিত ব্যায়ام করা উচিত।)
Exhibit,প্রদর্শন করা,They will exhibit their paintings. (তারা তাদের চিত্রকর্ম প্রদর্শন করবে।)
Exist,অস্তিত্ব থাকা,Do you believe ghosts exist? (আপনি কি বিশ্বাস করেন ভূতের অস্তিত্ব আছে?)
Expand,বিস্তৃত করা,We are planning to expand our business. (আমরা আমাদের ব্যবসা বিস্তৃত করার পরিকল্পনা করছি।)
Expect,প্রত্যাশা করা,I expect to finish the work by Friday. (আমি শুক্রবারের মধ্যে কাজটি শেষ করার প্রত্যাশা করি।)
Expense,খরচ,We need to cut down our expenses. (আমাদের খরচ কমানো দরকার।)
Expensive,ব্যয়বহুল,This car is very expensive. (এই গাড়িটি খুব ব্যয়বহুল।)
Experience,অভিজ্ঞতা,He has a lot of experience. (তার অনেক অভিজ্ঞতা আছে।)
Expert,বিশেষজ্ঞ,He is an expert in this field. (তিনি এই ক্ষেত্রে একজন বিশেষজ্ঞ।)
Explain,ব্যাখ্যা করা,Can you explain this rule? (আপনি কি এই নিয়মটি ব্যাখ্যা করতে পারেন?)
Explicit,স্পষ্ট,He gave explicit instructions. (সে স্পষ্ট নির্দেশাবলী দিয়েছিল।)
Explode,বিস্ফোরিত হওয়া,The bomb exploded. (বোমাটি বিস্ফোরিত হয়েছিল।)
Explore,অন্বেষণ করা,Let's explore the new city. (চলো নতুন শহরটি অন্বেষণ করি।)
Export,রপ্তানি করা,This company exports tea. (এই কোম্পানিটি চা রপ্তানি করে।)
Expose,প্রকাশ করা,He was exposed as a spy. (সে একজন গুপ্তচর হিসেবে প্রকাশিত হয়েছিল।)
Express,প্রকাশ করা,He found it hard to express his feelings. (তার অনুভূতি প্রকাশ করা কঠিন হয়েছিল।)
Extend,বাড়ানো,Can you extend the deadline? (আপনি কি সময়সীমা বাড়াতে পারেন?)
Extension,সম্প্রসারণ,They are building an extension to the house. (তারা বাড়িটির একটি সম্প্রসারণ নির্মাণ করছে।)
Extensive,ব্যাপক,He has extensive knowledge of this subject. (তার এই বিষয়ে ব্যাপক জ্ঞান রয়েছে।)
Extent,পরিধি,What is the extent of the damage? (ক্ষতির পরিধি কত?)
External,বাহ্যিক,This is an external problem. (এটি একটি বাহ্যিক সমস্যা।)
Extra,অতিরিক্ত,Do you want extra sugar? (তুমি কি অতিরিক্ত চিনি চাও?)
Extraordinary,অসাধারণ,It was an extraordinary performance. (এটি একটি অসাধারণ পারফরম্যান্স ছিল।)
Extreme,চরম,He lives in extreme poverty. (সে চরম দারিদ্র্যের মধ্যে বাস করে।)
Fabric,কাপড়,This is a high-quality fabric. (এটি একটি উচ্চ-মানের কাপড়।)
Facility,সুবিধা,The hotel has excellent facilities. (হোটেলটিতে চমৎকার সুবিধা রয়েছে।)
Factor,উপাদান,Price is an important factor. (মূল্য একটি গুরুত্বপূর্ণ উপাদান।)
Faculty,অনুষদ,He is a member of the faculty. (তিনি অনুষদের একজন সদস্য।)
Fade,বিবর্ণ হওয়া,The colors have faded. (রংগুলো বিবর্ণ হয়ে গেছে।)
Failure,ব্যর্থতা,Failure is a part of learning. (ব্যর্থতা শেখার একটি অংশ।)
Fair,ন্যায্য,That's not a fair decision. (এটি একটি ন্যায্য সিদ্ধান্ত নয়।)
Faith,বিশ্বাস,I have faith in you. (আমার তোমার উপর বিশ্বাস আছে।)
False,মিথ্যা,His statement was false. (তার বিবৃতিটি মিথ্যা ছিল।)
Familiar,পরিচিত,His face looks familiar. (তার মুখটি পরিচিত মনে হচ্ছে।)
Famous,বিখ্যাত,He is a famous writer. (তিনি একজন বিখ্যাত লেখক।)
Fancy,পছন্দ করা,Do you fancy going out? (তোমার কি বাইরে যেতে ইচ্ছে করছে?)
Fantastic,চমৎকার,It was a fantastic movie. (এটি একটি চমৎকার সিনেমা ছিল।)
Fashion,ফ্যাশন,She is interested in fashion. (সে ফ্যাশনে আগ্রহী।)
Fate,ভাগ্য,It must be fate. (এটা নিশ্চয়ই ভাগ্য।)
Fault,দোষ,It's not my fault. (এটা আমার দোষ নয়।)
Favor,অনুকম্পা,Can you do me a favor? (তুমি কি আমার একটি উপকার করতে পারো?)
Fear,ভয়,He has a fear of heights. (তার উচ্চতার ভয় আছে।)
Feature,বৈশিষ্ট্য,What are the main features of this phone? (এই ফোনটির প্রধান বৈশিষ্ট্যগুলি কী কী?)
Federal,ফেডারেল,This is a federal law. (এটি একটি ফেডারেল আইন।)
Fee,ফি,What is the course fee? (কোর্সটির ফি কত?)
Feed,খাওয়ানো,Did you feed the cat? (তুমি কি বিড়ালটিকে খাইয়েছিলে?)
Female,মহিলা,She is the only female employee. (সে একমাত্র মহিলা কর্মচারী।)
Fence,বেড়া,There is a fence around the garden. (বাগানের চারপাশে একটি বেড়া আছে।)
Fetch,গিয়ে আনা,Can you fetch me a glass of water? (তুমি কি আমাকে এক গ্লাস পানি এনে দিতে পারো?)
Fever,জ্বর,He has a high fever. (তার প্রচণ্ড জ্বর।)
Fiction,কল্পকাহিনী,I enjoy reading science fiction. (আমি সায়েন্স ফিকশন পড়তে উপভোগ করি।)
Field,মাঠ,The farmers are in the field. (কৃষকরা মাঠে আছে।)
Fierce,হিংস্র,He has a fierce dog. (তার একটি হিংস্র কুকুর আছে।)
Figure,সংখ্যা,The sales figures are low. (বিক্রয়ের সংখ্যা কম।)
Finance,অর্থায়ন,He is studying finance. (সে অর্থায়ন নিয়ে পড়াশোনা করছে।)
Finding,প্রাপ্ত তথ্য,The findings of the research are interesting. (গবেষণার প্রাপ্ত তথ্যগুলো আকর্ষণীয়।)
Firm,দৃঢ়,He has a firm belief. (তার একটি দৃঢ় বিশ্বাস আছে।)
Fit,উপযুক্ত,This dress does not fit me. (এই পোশাকটি আমার জন্য উপযুক্ত নয়।)
Fix,ঠিক করা,Can you fix my computer? (তুমি কি আমার কম্পিউটারটি ঠিক করতে পারো?)
Flame,শিখা,The flame of the candle went out. (মোমবাতির শিখাটি নিভে গিয়েছিল।)
Flash,ঝলকানি,I saw a flash of light. (আমি একটি আলোর ঝলকানি দেখেছিলাম।)
Flat,ফ্ল্যাট,He lives in a small flat. (সে একটি ছোট ফ্ল্যাটে বাস করে।)
Flavor,স্বাদ,What is the flavor of this ice cream? (এই আইসক্রিমটির স্বাদ কী?)
Flee,পালানো,The thief tried to flee. (চোরটি পালানোর চেষ্টা করেছিল।)
Flesh,মাংস,The lion eats flesh. (সিংহ মাংস খায়।)
Flexible,নমনীয়,You need to be more flexible with your plans. (আপনার পরিকল্পনার সাথে আপনাকে আরও নমনীয় হতে হবে।)
Float,ভাসা,Wood floats on water. (কাঠ পানিতে ভাসে।)
Flood,বন্যা,The village was destroyed by the flood. (গ্রামটি বন্যায় ধ্বংস হয়ে গিয়েছিল।)
Flow,প্রবাহ,The river flows to the sea. (নদীটি সমুদ্রের দিকে প্রবাহিত হয়।)
Focus,মনোযোগ দেওয়া,You need to focus on your studies. (তোমাকে তোমার পড়াশোনায় মনোযোগ দিতে হবে।)
Fold,ভাঁজ করা,Please fold the clothes. (অনুগ্রহ করে কাপড়গুলো ভাঁজ করো।)
Following,অনুসরণকারী,He has a large following on social media. (সোশ্যাল মিডিয়ায় তার অনেক অনুসরণকারী রয়েছে।)
Force,বল,He used force to open the door. (সে দরজাটি খুলতে বল প্রয়োগ করেছিল।)
Foreign,বিদেশী,He speaks a foreign language. (সে একটি বিদেশী ভাষায় কথা বলে।)
Forest,বন,The tiger lives in the forest. (বাঘ বনে বাস করে।)
Forgive,ক্ষমা করা,Please forgive me. (অনুগ্রহ করে আমাকে ক্ষমা করো।)
Formal,আনুষ্ঠানিক,You must wear formal clothes. (তোমাকে অবশ্যই আনুষ্ঠানিক পোশাক পরতে হবে।)
Format,ফরম্যাট,What is the format of the file? (ফাইলটির ফরম্যাট কী?)
Former,সাবেক,He is a former president. (তিনি একজন সাবেক রাষ্ট্রপতি।)
Formula,সূত্র,What is the formula for water? (পানির সূত্র কী?)
Fortune,ভাগ্য,He made a fortune in business. (সে ব্যবসায় ভাগ্য তৈরি করেছিল।)
Forward,সামনে,Please move forward. (অনুগ্রহ করে সামনে আসুন।)
Found,প্রতিষ্ঠা করা,He founded this company. (সে এই কোম্পানিটি প্রতিষ্ঠা করেছিল।)
Foundation,ভিত্তি,The foundation of the building is strong. (ভবনটির ভিত্তি শক্তিশালী।)
Frame,ফ্রেম,The picture has a wooden frame. (ছবিটির একটি কাঠের ফ্রেম আছে।)
Fraud,প্রতারণা,He was arrested for fraud. (প্রতারণার জন্য তাকে গ্রেফতার করা হয়েছিল।)
Freedom,স্বাধীনতা,Everyone wants freedom. (সবাই স্বাধীনতা চায়।)
Frequency,কম্পাঙ্ক,What is the frequency of this sound? (এই শব্দটির কম্পাঙ্ক কত?)
Frequent,ঘনঘন,He is a frequent visitor to this place. (সে এই জায়গায় ঘনঘন আসে।)
Fresh,সতেজ,I like fresh fruits. (আমি সতেজ ফল পছন্দ করি।)
Friendly,বন্ধুত্বপূর্ণ,He is a very friendly person. (সে খুব বন্ধুত্বপূর্ণ একজন মানুষ।)
Frustrated,হতাশ,She felt frustrated with the slow progress. (সে ধীরগতিতে হতাশ বোধ করছিল।)
Fuel,জ্বালানি,The car is low on fuel. (গাড়িটিতে জ্বালানি কম।)
Fulfil,পূর্ণ করা,You must fulfil your promise. (তোমাকে অবশ্যই তোমার প্রতিশ্রুতি পূর্ণ করতে হবে।)
Function,ফাংশন,What is the function of this machine? (এই মেশিনটির ফাংশন কী?)
Fund,তহবিল,They are raising funds for the new hospital. (তারা নতুন হাসপাতালের জন্য তহবিল সংগ্রহ করছে।)
Fundamental,মৌলিক,This is a fundamental principle. (এটি একটি মৌলিক নীতি।)
Funding,অর্থায়ন,We need more funding for this project. (এই প্রকল্পের জন্য আমাদের আরও অর্থায়ন দরকার।)
Funeral,অন্ত্যেষ্টিক্রিয়া,I attended his funeral. (আমি তার অন্ত্যেষ্টিক্রিয়ায় অংশ নিয়েছিলাম।)
Funny,মজার,He told a funny joke. (সে একটি মজার কৌতুক বললো।)
Furnish,সাজানো,They furnished the room with new furniture. (তারা নতুন আসবাবপত্র দিয়ে ঘরটি সাজিয়েছিল।)
Furthermore,অধিকন্তু,He is lazy; furthermore, he is dishonest. (সে অলস; অধিকন্তু, সে অসৎ।)
Future,ভবিষ্যৎ,What are your plans for the future? (ভবিষ্যতের জন্য তোমার পরিকল্পনা কী?)
Gain,অর্জন করা,What will you gain from this? (এ থেকে তুমি কী অর্জন করবে?)
Gang,দল,He is the leader of the gang. (সে দলটির নেতা।)
Gap,ফাঁক,There is a gap between the two walls. (দুটি দেয়ালের মধ্যে একটি ফাঁক আছে।)
Gather,জড়ো করা,The crowd gathered around him. (ভিড়টি তার চারপাশে জড়ো হয়েছিল।)
Gaze,একদৃষ্টিতে তাকানো,She gazed at the stars. (সে তারাগুলোর দিকে একদৃষ্টিতে তাকিয়েছিল।)
Gender,লিঙ্গ,Please state your gender. (অনুগ্রহ করে আপনার লিঙ্গ বলুন।)
Generate,উৎপন্ন করা,The machine generates electricity. (মেশিনটি বিদ্যুৎ উৎপন্ন করে।)
Generous,উদার,He is very generous with his money. (সে তার টাকা দিয়ে খুব উদার।)
Gentle,ভদ্র,He has a gentle voice. (তার একটি ভদ্র কণ্ঠস্বর আছে।)
Genuine,খাঁটি,Is this a genuine diamond? (এটি কি খাঁটি হীরা?)
Gesture,অঙ্গভঙ্গি,He made a rude gesture. (সে একটি অভদ্র অঙ্গভঙ্গি করেছিল।)
Giant,দৈত্য,He is a giant in the field of science. (সে বিজ্ঞানের ক্ষেত্রে একজন দৈত্য।)
Glad,খুশি,I am glad to see you. (আমি তোমাকে দেখে খুশি হয়েছি।)
Global,বৈশ্বিক,This is a global problem. (এটি একটি বৈশ্বিক সমস্যা।)
Glory,গৌরব,He fought for the glory of his country. (সে তার দেশের গৌরবের জন্য লড়াই করেছিল।)
Goal,লক্ষ্য,My goal is to become a doctor. (আমার লক্ষ্য একজন ডাক্তার হওয়া।)
Golden,সোনালী,She has golden hair. (তার সোনালী চুল আছে।)
Grace,সৌন্দর্য,She moves with grace. (সে সৌন্দর্যের সাথে চলাফেরা করে।)
Grade,গ্রেড,He got a good grade in the exam. (সে পরীক্ষায় ভালো গ্রেড পেয়েছে।)
Gradual,ধীর,There has been a gradual improvement in his health. (তার স্বাস্থ্যের ধীর উন্নতি হয়েছে।)
Grain,শস্য,Rice is a type of grain. (চাল এক ধরনের শস্য।)
Grand,भव्य,It was a grand celebration. (এটি একটি भव्य উদযাপন ছিল।)
Grant,অনুদান,He received a grant for his research. (সে তার গবেষণার জন্য একটি অনুদান পেয়েছিল।)
Grasp,আঁকড়ে ধরা,He grasped my hand. (সে আমার হাত আঁকড়ে ধরেছিল।)
Grateful,কৃতজ্ঞ,I am grateful for your help. (আমি তোমার সাহায্যের জন্য কৃতজ্ঞ।)
Grave,কবর,He visited his father's grave. (সে তার বাবার কবর পরিদর্শন করেছিল।)
Great,মহান,He was a great leader. (তিনি একজন মহান নেতা ছিলেন।)
Greed,লোভ,Greed is the cause of his downfall. (লোভই তার পতনের কারণ।)
Grief,দুঃখ,She was filled with grief. (সে দুঃখে ভরে গিয়েছিল।)
Grin,দাঁত বের করে হাসা,He grinned at me. (সে আমার দিকে দাঁত বের করে হাসল।)
Grip,আঁকড়ে ধরা,He has a strong grip. (তার একটি শক্ত আঁকড়ে ধরা আছে।)
Ground,মাটি,He sat on the ground. (সে মাটিতে বসেছিল।)
Grow,বড় হওয়া,The child is growing fast. (শিশুটি দ্রুত বড় হচ্ছে।)
Guarantee,গ্যারান্টি,Can you give me a guarantee? (তুমি কি আমাকে একটি গ্যারান্টি দিতে পারো?)
Guard,পাহারাদার,A guard is at the gate. (গেটে একজন পাহারাদার আছে।)
Guess,অনুমান করা,Can you guess the answer? (তুমি কি উত্তরটি অনুমান করতে পারো?)
Guest,অতিথি,We have a guest tonight. (আজ রাতে আমাদের একজন অতিথি আছে।)
Guide,পথপ্রদর্শক,He was my guide. (সে আমার পথপ্রদর্শক ছিল।)
Guilty,দোষী,He was found guilty of the crime. (সে অপরাধে দোষী সাব্যস্ত হয়েছিল।)
Habit,অভ্যাস,Smoking is a bad habit. (ধূমপান একটি খারাপ অভ্যাস।)
Half,অর্ধেক,He ate half of the apple. (সে আপেলটির অর্ধেক খেয়েছিল।)
Hall,হল,The meeting is in the main hall. (সভাটি প্রধান হলে হচ্ছে।)
Halt,থামা,The train came to a halt. (ট্রেনটি থেমে গিয়েছিল।)
Hand,হাত,He has a book in his hand. (তার হাতে একটি বই আছে।)
Handle,সামলানো,Can you handle this situation? (তুমি কি এই পরিস্থিতিটি সামলাতে পারো?)
Hang,ঝোলানো,Please hang your coat here. (অনুগ্রহ করে তোমার কোটটি এখানে ঝোলাও।)
Harm,ক্ষতি,He means no harm. (সে কোনো ক্ষতি করতে চায় না।)
Harvest,ফসল কাটা,It's time to harvest the crops. (এখন ফসল কাটার সময়।)
Hate,ঘৃণা করা,I hate this place. (আমি এই জায়গাটিকে ঘৃণা করি।)
Hazard,বিপদ,Smoking is a health hazard. (ধূমপান স্বাস্থ্যের জন্য একটি বিপদ।)
Headline,শিরোনাম,Did you read the headlines? (তুমি কি শিরোনামগুলো পড়েছিলে?)
Heal,নিরাময় হওয়া,The wound will heal soon. (ক্ষতটি শীঘ্রই নিরাময় হবে।)
Heap,স্তূপ,There is a heap of clothes on the bed. (বিছানার উপর কাপড়ের একটি স্তূপ আছে।)
